id,prompt,option_A_text,option_A_scores,option_B_text,option_B_scores,option_C_text,option_C_scores,option_D_text,option_D_scores
Q1,Bạn thường ra quyết định dựa trên điều gì?,Phân tích logic và dữ liệu.,software_eng:3;data_science:2;ai_ml_eng:2,Cảm hứng và ý tưởng sáng tạo.,frontend_dev:3;data_science:1,Tham khảo ý kiến từ người khác.,pm_ba_po:3;solutions_architect:1,Lập kế hoạch và mục tiêu rõ ràng.,pm_ba_po:3;cloud_devops:1
Q2,Bạn cảm thấy thoải mái nhất khi làm việc ở đâu?,"Không gian yên tĩnh, tập trung.",backend_dev:3;software_eng:2,"Môi trường năng động, nhiều người.",pm_ba_po:3;solutions_architect:2,"Không gian sáng tạo, tự do.",frontend_dev:3;data_science:1,"Văn phòng có quy trình rõ ràng.",cloud_devops:3;qa_qc_eng:2
Q3,"Khi gặp vấn đề khó, bạn ưu tiên làm gì?","Tự nghiên cứu để tìm giải pháp.",software_eng:3;ai_ml_eng:2;backend_dev:1,"Thảo luận với nhóm để có ý tưởng mới.",pm_ba_po:3;solutions_architect:2,"Thử nhiều cách tiếp cận khác nhau.",data_science:3;frontend_dev:1,"Tìm người có kinh nghiệm để học hỏi.",qa_qc_eng:2;tester:2
Q4,Bạn thích vai trò nào trong một dự án?,Người phân tích và xử lý chi tiết.,data_science:3;qa_qc_eng:2,Người dẫn dắt và tổ chức nhóm.,pm_ba_po:3;solutions_architect:2,Người đưa ra ý tưởng mới.,frontend_dev:3;ai_ml_eng:1,Người hỗ trợ và kết nối mọi người.,pm_ba_po:2;tester:1
Q5,Bạn tự tin nhất ở kỹ năng nào?,Xử lý số liệu và phân tích.,data_science:3;ai_ml_eng:2,Thiết kế hình ảnh hoặc giao diện.,frontend_dev:3,Giao tiếp và thuyết phục người khác.,pm_ba_po:3;solutions_architect:2,Quản lý thời gian và dự án.,pm_ba_po:3;cloud_devops:1
Q6,Bạn thường học hỏi kỹ năng mới như thế nào?,Tự học qua tài liệu và thực hành.,software_eng:3;backend_dev:2,Tham gia khóa học hoặc hội thảo.,pm_ba_po:2;data_science:1,Làm việc với đội nhóm để học hỏi.,solutions_architect:2;tester:1,Thử nghiệm và cải tiến dần dần.,ai_ml_eng:2;frontend_dev:1
Q7,Bạn giỏi nhất ở loại công việc nào?,Phát triển phần mềm hoặc công cụ.,software_eng:3;backend_dev:2,Giáo dục hoặc hướng dẫn người khác.,pm_ba_po:2;data_science:1,Kiểm tra và đảm bảo chất lượng.,qa_qc_eng:3;tester:2,Lập kế hoạch và điều phối công việc.,pm_ba_po:3;solutions_architect:2
Q8,Bạn xử lý công việc phức tạp ra sao?,Chia nhỏ vấn đề để giải quyết.,software_eng:3;data_science:2,Tìm cách sáng tạo để đơn giản hóa.,frontend_dev:3;ai_ml_eng:1,Hỏi ý kiến từ đồng nghiệp.,pm_ba_po:2;solutions_architect:1,Tuân theo quy trình đã được thiết lập.,cloud_devops:3;qa_qc_eng:2
Q9,Bạn muốn làm việc trong lĩnh vực nào?,Công nghệ và lập trình.,software_eng:3;backend_dev:2;frontend_dev:2,Kinh doanh hoặc quản lý.,pm_ba_po:3;solutions_architect:2,Nghệ thuật và sáng tạo nội dung.,frontend_dev:3;data_science:1,Giáo dục hoặc hướng dẫn người khác.,pm_ba_po:2;data_science:1
Q10,Bạn thường giải quyết công việc theo cách nào?,"Phân tích kỹ lưỡng trước khi hành động.",software_eng:3;data_science:2,"Thử nghiệm và điều chỉnh dần.",frontend_dev:3;ai_ml_eng:1,"Kết hợp sáng tạo và logic, để tạo giải pháp hiệu quả.",solutions_architect:3;pm_ba_po:2,"Dựa vào quy trình chuẩn có sẵn.",qa_qc_eng:3;cloud_devops:2
Q11,Bạn hứng thú với loại dự án nào?,Xây dựng sản phẩm/dịch vụ cho khách hàng.,software_eng:3;frontend_dev:2,Tổ chức sự kiện hoặc chiến dịch.,pm_ba_po:3;solutions_architect:2,Thiết kế sản phẩm thẩm mỹ.,frontend_dev:3;data_science:1,Dạy học hoặc chia sẻ kiến thức.,pm_ba_po:2;data_science:1
Q12,Bạn muốn công việc có đặc điểm gì?,Thử thách về mặt kỹ thuật.,software_eng:3;backend_dev:2;ai_ml_eng:2,Cơ hội lãnh đạo và quản lý.,pm_ba_po:3;solutions_architect:2,Tự do sáng tạo và đổi mới.,frontend_dev:3;data_science:1,Gắn kết và hỗ trợ người khác.,pm_ba_po:2;tester:1